location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
Airoli,1004.67,2,1.0,2,5.0,15.4,1,0,13067904
Ulwe,780.03,3,2.5295887662988967,26,38.0,7.2,0,0,15339739
Ulwe,1287.54,2,3.0,16.55400254129606,35.0,10.4,1,0,19454778
panvel,841.04,4,3.0,14,34.0,15.4,1,1,14367262
Kharghar,814.31,4,4.0,7,34.0,1.9,0,0,15050510
Ulwe,708.41,3,3.0,9,16.0,8.5,1,0,11466200
Kharghar,1008.33,2,2.0,22,34.0,11.5,0,0,16340732
Airoli,413.57,3,2.5295887662988967,34,35.0,12.5,1,1,7439508
Ghansoli,950.21,4,2.0,8,22.0,11.6,1,0,14703069
nerul,786.08,2.4597701149425286,2.0,34,19.846280312371558,12.7,0,0,12290414
Ulwe,1272.85,2,2.0,16.55400254129606,36.0,2.2,0,1,20996596
Belapur,1302.96,2,3.0,24,18.0,14.2,0,0,20181316
CBD Belapur,698.38,1,3.0,28,9.0,7.3,0,1,9440668
Ulwe,535.1,2.4597701149425286,1.0,26,23.0,6.9,0,1,6880420
panvel,717.33,2,2.0,0,27.0,1.9,1,0,8417872
Nerul,942.66,1,2.0,15,34.0,4.1,0,0,12074384
Ghansoli,628.02,2,2.0,34,17.0,10.4,0,0,6142680
KHARGHAR,1188.83,2,2.5295887662988967,20,37.0,1.2,1,1,16944488
nerul,699.6,2.4597701149425286,3.0,1,12.0,5.7,1,1,7884780
nerul,163.78,1,2.0,3,20.0,20.0,1,0,2613405
Airoli,351.54,3,2.0,25,8.0,2.5,0,0,6316538
Vashi,1100.6,2.4597701149425286,2.0,11,9.0,6.4,1,0,16630868
Vashi,1525.78,2,3.0,28,13.0,5.2,0,1,24426717
Airoli,160.79,1,4.0,0,9.0,13.8,1,1,3019558
Nerul,1294.73,2,2.5295887662988967,21,20.0,0.5,0,0,18505432
CBD Belapur,662.61,2,4.0,9,34.0,4.5,1,0,8503987
Belapur,1272.24,3,3.0,22,21.0,8.5,0,1,14325813
Airoli,979.1,3,2.5295887662988967,10,1.0,1.0,0,0,10776947
nerul,834.01,2.4597701149425286,3.0,21,13.0,3.0,1,0,10743096
Kharghar,1279.64,2.4597701149425286,2.5295887662988967,17,26.0,7.0,0,0,22829962
Belapur,1609.79,2,1.0,3,24.0,14.4,1,0,24456626
panvel,1263.62,3,2.5295887662988967,27,19.846280312371558,10.2,0,0,22376808
KHARGHAR,3430.9657487994687,2,3.0,28,19.846280312371558,12.0,0,0,73192702
panvel,763.3,2,3.0,21,12.0,0.9,1,1,8187523
Airoli,1481.05,2.4597701149425286,2.0,3,1.0,21.3,0,0,16252828
Kharghar,3430.9657487994687,3,1.0,2,9.0,9.1,0,0,49391176
Airoli,586.13,1,1.0,0,13.0,5.3,1,0,6497022
Ghansoli,-360.0,4,4.0,22,20.0,3.1,0,1,-5654861
Belapur,1184.84,4,2.0,20,5.0,1.2,1,0,12513789
Nerul,252.27,4,2.0,11,26.0,11.5,1,1,4327021
KHARGHAR,999.63,3,1.0,6,5.0,0.4,1,0,17433573
Ghansoli,3430.9657487994687,2,2.0,4,10.0,1.6,0,0,64376894
Panvel,2980.99,3,1.0,23,17.0,4.9,0,1,45066556
Airoli,1512.55,2.4597701149425286,2.5295887662988967,12,31.0,0.6,1,1,14852173
Airoli,1070.94,3,3.0,27,10.0,8.0,0,0,19631339
Belapur,996.47,3,2.5295887662988967,3,32.0,2.9,0,1,18763967
Ulwe,1323.2,3,1.0,11,35.0,10.5,0,0,25983033
Ulwe,390.37,4,1.0,17,28.0,1.1,0,0,8338332
KHARGHAR,1350.42,2,2.0,10,24.0,8.2,0,1,17945384
KHARGHAR,1497.88,2.4597701149425286,4.0,6,11.0,1.1,0,0,23965990
CBD Belapur,298.11,4,4.0,27,10.0,11.3,1,1,5878853
Nerul,848.34,2,4.0,12,3.0,2.2,0,1,11679458
KHARGHAR,1578.86,4,2.5295887662988967,15,9.0,14.1,1,1,17439165
nerul,776.98,2,3.0,20,10.0,10.4,0,1,11433883
Ulwe,984.78,2,1.0,18,24.0,4.8,0,0,17679624
Airoli,771.34,2,4.0,23,11.0,11.7,1,1,10398279
Kharghar,1019.52,4,3.0,6,19.846280312371558,20.0,1,1,12568863
Belapur,986.44,1,1.0,7,33.0,18.8,1,1,15592878
Airoli,1331.6,2,1.0,8,10.0,11.9,0,0,22074309
KHARGHAR,1265.32,2,2.5295887662988967,22,36.0,13.5,1,1,16971841
nerul,1303.62,2.4597701149425286,2.0,32,31.0,12.4,0,0,11847944
Ghansoli,963.61,2,3.0,7,19.0,8.7,1,1,18957250
panvel,992.12,4,2.0,14,10.0,1.5,0,1,18766413
KHARGHAR,1121.13,4,3.0,11,32.0,2.2,1,1,20748714
Vashi,300.9,4,2.5295887662988967,16.55400254129606,1.0,2.3,1,0,5321582
Nerul,1141.1,2,2.0,2,19.846280312371558,6.4,1,0,12712839
panvel,1198.5,3,3.0,13,5.0,13.8,0,0,17071372
Panvel,1278.37,2,2.0,10,33.0,2.5,1,1,23439976
nerul,1561.72,4,4.0,11,37.0,8.8,1,0,32087001
Kharghar,969.73,2.4597701149425286,3.0,26,20.0,9.3,0,1,15041612
Belapur,-73.35,4,1.0,17,10.0,3.6,0,1,-1544518
CBD Belapur,132.43,2.4597701149425286,4.0,31,12.0,7.4,0,0,1499590
Vashi,1521.97,2,2.0,5,7.0,14.0,0,0,28247653
panvel,371.76,1,2.5295887662988967,15,11.0,2.9,1,0,6564565
Panvel,422.34,2.4597701149425286,1.0,21,9.0,12.8,1,1,5099958
CBD Belapur,1029.52,1,1.0,15,8.0,17.8,0,1,13348534
Kharghar,935.84,1,2.5295887662988967,2,15.0,3.9,0,0,9728892
Vashi,927.92,2.4597701149425286,2.5295887662988967,31,30.0,10.9,0,1,12446158
Vashi,1034.0,2,4.0,22,23.0,11.7,0,0,14308839
Nerul,1269.84,3,1.0,15,29.0,7.0,0,1,19313506
Airoli,605.85,4,4.0,16,22.0,5.5,0,0,8969143
Airoli,298.16,2.4597701149425286,2.0,16.55400254129606,27.0,11.3,0,1,4685160
Vashi,-38.62,4,1.0,23,26.0,2.1,0,0,-1175957
KHARGHAR,1145.11,2,2.0,10,30.0,3.6,1,0,13055627
panvel,1495.55,2,1.0,23,38.0,23.2,0,0,16715321
Ghansoli,876.03,2.4597701149425286,2.5295887662988967,13,20.0,11.9,1,0,11642808
Airoli,837.1,2,1.0,19,16.0,14.3,1,0,10337295
Airoli,638.36,2,4.0,7,18.0,9.2,0,1,9706618
Ghansoli,901.77,4,2.5295887662988967,8,9.0,0.0,1,0,13377975
Vashi,420.03,2,2.5295887662988967,32,34.0,12.9,1,0,4062210
KHARGHAR,1070.93,3,4.0,16,27.0,16.3,0,0,16934270
Belapur,981.97,3,2.5295887662988967,14,35.0,9.9,0,0,20769747
Ulwe,645.44,3,2.5295887662988967,30,19.846280312371558,9.2,0,1,8526136
Nerul,758.38,1,1.0,31,39.0,2.6,0,0,7336427
Nerul,680.03,4,3.0,19,26.0,5.6,0,0,9942367
Belapur,1051.04,4,2.0,21,4.0,11.9,1,0,17975725
Airoli,66.76,1,3.0,32,5.0,10.2,1,0,1784853
Nerul,862.36,3,1.0,32,12.0,13.0,1,0,15910504
Ulwe,1101.89,3,2.0,29,8.0,6.0,1,0,11780143
Belapur,663.9,3,2.0,4,29.0,3.8,1,0,7989708
Vashi,1472.19,2,3.0,5,16.0,8.1,1,0,17370680
Panvel,669.79,1,2.5295887662988967,23,9.0,12.6,1,0,12441454
Vashi,582.72,2,2.5295887662988967,5,36.0,11.8,0,0,5830986
Vashi,674.74,1,4.0,27,22.0,22.8,0,1,7988039
panvel,-1.4,2,3.0,21,32.0,7.5,0,0,-18389
Ghansoli,1769.92,2,3.0,30,8.0,8.0,0,0,22107136
CBD Belapur,810.79,1,1.0,18,25.0,9.2,0,0,11977609
KHARGHAR,1688.68,3,4.0,28,25.0,11.5,0,1,31235529
KHARGHAR,759.57,2,4.0,0,6.0,5.1,0,1,9104075
Nerul,676.63,2.4597701149425286,4.0,6,9.0,4.9,1,0,8668626
CBD Belapur,3189.87,4,1.0,16,22.0,1.3,1,0,50507091.96410894
Vashi,3385.31,4,2.5295887662988967,20,2.0,1.3,1,1,43659115
nerul,1115.91,4,2.0,21,9.0,17.6,0,0,13505784
Belapur,629.26,2,3.0,6,15.0,8.4,1,0,9028884
KHARGHAR,3430.9657487994687,4,2.0,15,3.0,9.2,1,0,50507091.96410894
